id	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	vernacularName
53588.0	53588.0	53588.0	51706.0	Empidonax virescens	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Empidonax		virescens		species	Mosquerito verdoso
51926.0	51926.0	51926.0	51925.0	Chiroxiphia linearis	Animalia	Chordata	Aves	Passeriformes	Pipridae	Chiroxiphia		linearis		species	Toledo, saltarín toledo
53112.0	53112.0	53112.0	53107.0	Leptodactylus poecilochilus	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus		poecilochilus		species	Rana, sapo
21176.0	21176.0	21176.0	7277.0	Quararibea funebris	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Bombacaceae	Quararibea		funebris		species	Molenillo, Palanco
51908.0	51908.0	51908.0	51907.0	Numenius phaeopus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Numenius		phaeopus		species	Cherelá, zarceta, zarapito trinador
33152.0	33152.0	33152.0	9336.0	Didymocentrus krausi	Animalia	Arthropoda	Arachnida	Scorpiones	Scorpionidae	Didymocentrus		krausi		species	Alacrán<br> Escorpión<br>
22100.0	22100.0	22100.0	7507.0	Cyathea acutidens	Plantae	Pteridophyta	Pteropsida	Filicales	Cyatheaceae	Cyathea		acutidens		species	Rabo de mico, helecho arborescente.
53252.0	53252.0	53252.0	73152.0	Incilius melanochlorus	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius		melanochlorus		species	sapo
52396.0	52396.0	52396.0	52395.0	Conopias albovittatus	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Conopias		albovittatus		species	Pecho amarillo, mosquero cabecianillado
27752.0	27752.0	27752.0	8762.0	Eichhornia crassipes	Plantae	Magnoliophyta	Liliopsida	Pontederiales	Pontederiaceae	Eichhornia		crassipes		species	Choreja, Lirio de Agua.
22433.0	22433.0	22433.0	7562.0	Dicksonia gigantea	Plantae	Pteridophyta	Pteropsida	Filicales	Dicksoniaceae	Dicksonia		gigantea		species	Rabo de mico, helecho arborescente
52022.0	52022.0	52022.0	51952.0	Contopus virens	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Contopus		virens		species	Pibí oriental
53215.0	53215.0	53215.0	53211.0	Bolitoglossa colonnea	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Bolitoglossa		colonnea		species	Salamandra
56430.0	56430.0	56430.0	66531.0	Craugastor rugosus	Animalia	Chordata	Amphibia	Anura	Craugastoridae	Craugastor		rugosus		species	Ranita, sapito
52399.0	52399.0	52399.0	51952.0	Contopus lugubris	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Contopus		lugubris		species	Pibí sombrío
21269.0	21269.0	21269.0	7300.0	Aechmea bracteata	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Aechmea		bracteata		species	Piñuela, epífita, parásita.
24333.0	24333.0	24333.0	8034.0	Ocotea multiflora	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Ocotea		multiflora		species	
23309.0	23309.0	23309.0	7751.0	Dipteryx panamensis	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae/Pap.	Dipteryx		panamensis		species	
53405.0	53405.0	53405.0	53404.0	Falco femoralis	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco		femoralis		species	Halcón aplomado
20938.0	20938.0	20938.0	7196.0	Taraxacum officinale	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum		officinale		species	Diente de León, amargón, arnica
52713.0	52713.0	52713.0	52711.0	Arremonops conirostris	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Arremonops		conirostris		species	Pinzón cabecilistado
25831.0	25831.0	25831.0	8420.0	Corymborkis forcipigera	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Corymborkis		forcipigera		species	
45465.0	45465.0	45465.0	50865.0	Plectania carranzae	Fungi	Ascomycota	Discomycetes	Pezizales	Sarcosomataceae	Plectania		carranzae		species	
48496.0	48496.0	48496.0	48495.0	Werauhia sanguinolenta	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Werauhia		sanguinolenta		species	<I>Vriesea sanguinolenta</I> Cogn. & Marchal, Pl. Ornam. t. 52. 1874.
53596.0	53596.0	53596.0	52450.0	Leptopogon superciliaris	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Leptopogon		superciliaris		species	Mosquerito orejinegro
50405.0	50405.0	50405.0	9527.0	Auricularia mesenterica	Fungi	Basidiomycota	Basidiomycetes	Auriculariales	Auriculariaceae	Auricularia		mesenterica		species	Oreja
52715.0	52715.0	52715.0	52714.0	Melozone biarcuata	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Melozone		biarcuata		species	Mercenario, rey de comemaíz, pinzón cafetalero
20785.0	20785.0	20785.0	7146.0	Lycoseris grandis	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Lycoseris		grandis		species	
60196.0	60196.0	60196.0	59408.0	Glyphis cicatricosa	Fungi	Ascomycota	Discomycetes	Ostropales	Graphidaceae	Glyphis		cicatricosa		species	Liquen.
28959.0	28959.0	28959.0	9073.0	Turpinia occidentalis	Plantae	Magnoliophyta	Magnoliopsida	Sapindales	Staphyleaceae	Turpinia		occidentalis		species	Sauco
51407.0	51407.0	51407.0	51406.0	Trinycteris nicefori	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Trinycteris		nicefori		species	Murciélago
26400.0	26400.0	26400.0	8482.0	Oerstedella pansamalae	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Oerstedella		pansamalae		species	Orquídea, parásita.
34128.0	34128.0	34128.0	7708.0	Inga tenuiloba	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae/Mim.	Inga		tenuiloba		species	Guaba.
26257.0	26257.0	26257.0	8468.0	Masdevallia rafaeliana	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Masdevallia		rafaeliana		species	Orquídea, parásita.
18628.0	18628.0	18628.0	5076.0	Canthidium macroculare	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Canthidium		macroculare		species	Ruedacaca, caquero, escarabajo, abejón.
19744.0	19744.0	19744.0	6858.0	Razisea citrina	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Acanthaceae	Razisea		citrina		species	
48685.0	48685.0	48685.0	48448.0	Camillea coroniformis	Fungi	Ascomycota	Pyrenomycetes	Xylariales	Xylariaceae	Camillea		coroniformis		species	
51915.0	51915.0	51915.0	51914.0	Cercomacra tyrannina	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Cercomacra		tyrannina		species	Hormiguero negruzco
21047.0	21047.0	21047.0	7224.0	Berberis nigricans	Plantae	Magnoliophyta	Magnoliopsida	Ranunculales	Berberidaceae	Berberis		nigricans		species	
30140.0	30140.0	30140.0	8843.0	Prunus fortunensis	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Prunus		fortunensis		species	Duraznillo
